square_id,total_internet_traffic
1,78405.5152292
2,78740.3530946
3,77383.4265494
4,77435.6512442
5,70947.6191425
6,77383.4265494
7,77383.4265494
8,77383.4265494
9,77383.4265494
10,46935.7643664
11,23840.2649004
12,17474.0453304
13,11174.3887378
14,16244.3101835
15,14755.4267802
16,20901.0037588
17,22700.804882
18,22700.8237916
19,22702.607379
20,22703.3768638
21,22756.2561154
22,22585.4286591
23,26470.8540511
24,39508.3611809
25,38988.8747232
26,38988.8747232
27,44504.1070035
28,50085.2569535
29,52640.9474292
30,54187.2156131
31,52905.6729946
32,60684.2440176
33,67080.1444185
34,62093.9840477
35,42721.4881783
36,42721.4881783
37,42721.4881783
38,42721.4881783
39,55402.9158494
40,58093.5351253
41,68596.0518208
42,65950.9805517
43,117488.510469
44,179566.985109
45,179566.985109
46,179566.985109
47,705828.041256
48,987468.214035
49,345864.283121
50,94351.2230268
51,78126.2279305
52,80854.3001819
53,77908.681026
54,88211.0112348
55,96844.6994538
56,89183.0761747
57,71635.7093561
58,76657.3386461
59,70790.6648533
60,57073.6803911
61,40870.374756
62,40870.374756
63,46052.8546333
64,68046.2411673
65,100166.64248
66,101559.648587
67,112967.049564
68,146137.554469
69,120561.227863
70,83441.5902481
71,80534.4640472
72,92714.4517407
73,102828.373653
74,97899.9067042
75,97943.3221397
76,97943.3221397
77,97943.3221397
78,97943.3221397
79,97943.3221397
80,89844.1509643
81,55634.6291487
82,24465.6807646
83,22413.5420555
84,22413.5420555
85,22413.5420555
86,27232.0935902
87,37514.888292
88,28830.3132246
89,28830.3132246
90,28830.3132246
91,38756.3878034
92,40114.5988472
93,61369.0542693
94,103539.600016
95,103539.600016
96,103539.600016
97,103539.600016
98,104151.997376
99,103539.600016
100,103535.48327
101,77871.8782792
102,73306.6134651
103,77383.4265494
104,77383.4265494
105,77383.4265494
106,77383.4265494
107,77383.4265494
108,77383.4265494
109,77383.4265494
110,46710.5500987
111,27871.1302694
112,3023.07757778
113,11366.2656827
114,19176.8842511
115,19300.8702301
116,24640.4872545
117,22597.2549474
118,22597.2549474
119,22597.2549474
120,22597.2549474
121,22642.7302637
122,22660.4115289
123,33025.0058322
124,41974.358685
125,45191.6789386
126,48268.2771668
127,52722.4225438
128,54397.7338681
129,52905.6729946
130,52905.6729946
131,57643.9875383
132,55871.9202676
133,52588.3600416
134,50968.6008251
135,55003.6559007
136,51896.4841292
137,42713.3152218
138,42720.3796859
139,42721.4881783
140,63840.620584
141,76329.9095798
142,63901.7573462
143,65996.121278
144,94232.5440457
145,116149.388872
146,445974.984125
147,1263094.19941
148,463306.17145
149,195438.843047
150,190305.546536
151,149899.869785
152,151227.77045
153,152210.929199
154,158581.305567
155,155610.088308
156,120019.144943
157,64002.5901041
158,70852.8586667
159,58900.4900622
160,58051.2109427
161,47359.3745046
162,40870.374756
163,40870.374756
164,57950.1186548
165,107443.006001
166,107400.718311
167,118366.849107
168,133049.327013
169,145041.511944
170,140188.753646
171,110063.232616
172,97844.8778315
173,97884.133008
174,100524.48285
175,97943.3221397
176,97943.3221397
177,97943.3221397
178,97943.3221397
179,97943.3221397
180,99395.2834167
181,51177.0594548
182,22373.1827789
183,22413.5420555
184,22413.5420555
185,22413.5420555
186,29427.0044521
187,36201.2832738
188,43564.8727019
189,28423.157672
190,32406.6776178
191,41907.3981118
192,40114.5988472
193,41898.7494494
194,79580.3047607
195,103539.600016
196,103539.600016
197,103539.600016
198,103539.600016
199,103539.600016
200,103988.275742
201,79740.6321735
202,77400.9206815
203,78482.5069962
204,77383.4265494
205,78485.6423612
206,77383.4265494
207,77383.4265494
208,77383.4265494
209,77383.4265494
210,58646.9989052
211,27746.42536
212,23964.9153165
213,21097.4984072
214,20066.3663372
215,26008.2050543
216,22597.2549474
217,22597.2549474
218,22597.2549474
219,22597.2549474
220,22597.2549474
221,26702.5763658
222,31054.3679744
223,46090.1362939
224,48448.3487856
225,47830.2787659
226,50004.4629838
227,54078.1049893
228,52905.6729946
229,52905.6729946
230,52905.6729946
231,54239.0239553
232,60085.589344
233,52884.5149288
234,52896.5079246
235,54109.4046764
236,54911.9148891
237,55543.445545
238,62775.5124392
239,88950.8687682
240,120995.191283
241,131374.82267
242,90325.2271435
243,70245.374629
244,63901.7573462
245,75330.2257054
246,548555.914095
247,756248.76762
248,168932.934694
249,227882.911129
250,226811.689965
251,207512.456066
252,155018.721111
253,168153.629436
254,164595.692787
255,151425.883786
256,129390.143728
257,54100.0200179
258,60947.1046641
259,58999.0548558
260,57680.1165357
261,57323.9421339
262,45707.3002214
263,40870.374756
264,75628.8353186
265,99156.6667905
266,99156.6667905
267,118108.840814
268,138569.339582
269,145238.439695
270,149905.228279
271,132745.819168
272,100499.581233
273,97943.2713122
274,97943.3221397
275,97943.3221397
276,97943.3221397
277,96741.1375947
278,97943.3221397
279,97943.3221397
280,85470.7736011
281,42543.9513762
282,22413.5420555
283,22413.5420555
284,22413.5420555
285,29858.3339086
286,49005.0832227
287,22527.3595694
288,26993.3857911
289,33742.1082083
290,23786.8672776
291,30748.7776036
292,42000.5448396
293,40114.5988472
294,47010.3190444
295,96009.9950746
296,103539.600016
297,103539.600016
298,103539.600016
299,103994.255792
300,107393.916577
301,70432.0357215
302,75901.2198997
303,78304.8546391
304,80540.6619091
305,80912.1094971
306,80453.0839581
307,78666.9419899
308,77488.7340226
309,77383.4265494
310,73866.1462507
311,36387.0099924
312,29101.4127126
313,28850.2371224
314,26854.2347223
315,27358.3925523
316,25178.7911532
317,22597.2549474
318,26378.4668643
319,27920.3649369
320,30153.8494095
321,33007.5120797
322,41278.5045879
323,47859.0024347
324,49113.5846436
325,51210.4868588
326,54429.7066047
327,52905.6729946
328,52905.6729946
329,52905.6729946
330,52905.6729946
331,52963.6828473
332,52974.9483547
333,52848.9251976
334,52895.5434303
335,52898.5896745
336,52894.5816901
337,91413.8407808
338,144934.676617
339,147921.439384
340,138449.980873
341,151604.600415
342,138170.785274
343,92123.5033075
344,82089.0520229
345,117518.056313
346,406149.872097
347,723092.71244
348,233233.424507
349,226134.171662
350,231663.529812
351,203256.532744
352,160806.747187
353,165522.716765
354,157046.722064
355,151425.883786
356,141716.526735
357,104478.18189
358,59761.7117229
359,67146.5244105
360,73698.5616131
361,68423.4054072
362,63743.505852
363,48068.4321252
364,88259.1011343
365,99156.6667905
366,108668.043605
367,130015.942482
368,155674.966073
369,139622.895095
370,139622.895095
371,137421.381546
372,107431.442991
373,98175.1330156
374,97943.3221397
375,97943.3221397
376,97937.5121896
377,56225.70419
378,97943.3221397
379,99541.0012548
380,80507.9087095
381,27820.1360219
382,22413.5420555
383,26650.6432235
384,41154.6316675
385,58031.6724552
386,25038.7602514
387,19781.907342
388,28284.6933475
389,45361.2775307
390,20231.3483912
391,19576.5408615
392,31252.9489669
393,41582.6627603
394,41073.0614636
395,46065.6915963
396,103253.066
397,103034.990165
398,103018.599665
399,90414.2333834
400,75935.8612491
401,30957.3951887
402,43672.3957653
403,55643.9244297
404,57977.7357662
405,53886.8639197
406,68731.8195519
407,65761.6533113
408,61185.5812626
409,48798.6956139
410,35118.7051352
411,30215.8451759
412,26156.4875546
413,26156.4875546
414,26888.5622449
415,26943.2241625
416,27586.3470617
417,28632.6026775
418,32425.067593
419,31678.9622388
420,31678.9622388
421,38019.7685206
422,48334.6486208
423,49396.4000127
424,52971.5277882
425,52905.6729946
426,52905.6729946
427,52905.6729946
428,52905.6729946
429,52905.6729946
430,52905.6729946
431,52918.2716601
432,49256.3001351
433,55054.155611
434,52886.395638
